enterprise_name, organization_name, repository_name, issue_id, issue_number, PR_number, assignee_name, is_copilot_used, saving_percentage, usage_frequency, comment, created_at, completed_at
,,TestRepo,2000221012,31,9,mageroni,1,,,,2023-11-18T04:37:09Z,2023-11-18T04:37:19Z
,,TestRepo,2000238827,36,1,mageroni,1,> 21% but < 30%,Some of the time,,2023-11-18T05:21:06Z,2023-11-18T05:21:17Z

,,TestRepo,2000240414,37,14,mageroni,1,,,,2023-11-18T05:24:44Z,2023-11-18T05:24:55Z
,,TestRepo,2000240414,37,14,mageroni,1,> 21% but < 30%,,,2023-11-18T05:24:44Z,2023-11-18T05:24:57Z
,,TestRepo,2000240414,37,14,mageroni,1,> 21% but < 30%,,,2023-11-18T05:24:44Z,2023-11-18T05:24:59Z
